Rank,Country,Education Index,Expected years of schooling,Mean years of schooling,HDI rank,Continent
1,Afghanistan,0.398,10.1,3.5,169,Asia
2,Albania,0.715,14.2,9.6,75,Europe
3,Algeria,0.658,14.4,7.8,83,Africa
4,Andorra,0.718,13.5,10.3,32,Europe
5,Angola,0.482,11.4,5,150,Africa
6,Antigua and Barbuda,0.694,13.9,9.2,62,North America
7,Argentina,0.808,17.3,9.8,45,South America
8,Armenia,0.73,12.7,11.3,84,Europe
9,Australia,0.939,20.4,13.2,2,Oceania
10,Austria,0.82,15.9,11.3,24,Europe
11,Azerbaijan,0.723,12.7,11.2,78,Europe
12,Bahamas,0.77,12.7,10.9,58,North America
13,Bahrain,0.717,14.5,9.4,47,Asia
14,Bangladesh,0.457,10.2,5.2,139,Asia
15,Barbados,0.773,15.3,10.5,54,North America
16,Belarus,0.834,15.7,12,52,Europe
17,Belgium,0.841,16.6,11.4,22,Europe
18,Belize,0.704,12.8,10.5,103,North America
19,Benin,0.414,10.7,3.5,167,Africa
20,Bhutan,0.452,12.5,3.1,132,Asia
21,Bolivia,0.656,13.8,8.2,118,South America
22,Bosnia and Herzegovina,0.694,14.2,9,81,Europe
23,Botswana,0.658,12.6,9.2,108,Africa
24,Brazil,0.681,15.2,7.8,79,South America
25,Brunei Darussalam,0.716,14.9,9,30,Asia
26,Bulgaria,0.778,15,10.8,56,Europe
27,Burkina Faso,0.262,7.7,1.4,185,Africa
28,Burundi,0.395,10.6,3,184,Africa
29,Cabo Verde,0.534,13.5,4.8,122,Africa
30,Cambodia,0.459,10.9,4.7,143,Asia
31,Cameroon,0.493,10.4,6.1,153,Africa
32,Canada,0.89,16.3,13.1,10,North America
33,Central African Republic,0.338,7.1,4.2,188,Africa
34,Chad,0.28,7.3,2.3,186,Africa
35,Chile,0.784,16.3,9.9,38,South America
36,China,0.631,13.5,7.6,90,Asia
37,Colombia,0.63,13.6,7.6,95,South America
38,Comoros,0.469,11.1,4.8,160,Africa
39,Congo,0.52,11.1,6.3,135,Africa
40,Costa Rica,0.684,14.2,8.7,66,North America
41,Cote d'Ivoire,0.415,8.9,5,171,Africa
42,Croatia,0.798,15.3,11.2,45,Europe
43,Cuba,0.779,13.9,11.8,68,North America
44,Cyprus,0.786,14.3,11.7,33,Europe
45,Czech Republic,0.878,16.8,12.3,28,Europe
46,Democratic Republic of the Congo,0.475,9.8,6.1,176,Africa
47,Denmark,0.923,19.2,12.7,5,Europe
48,Djibouti,0.31,6.3,4.1,172,Africa
49,Dominica,0.618,12.8,7.9,96,North America
50,Dominican Republic,0.622,13.2,7.7,99,North America
51,Ecuador,0.665,14,8.3,89,South America
52,Egypt,0.601,13.1,7.1,111,Africa
53,El Salvador,0.584,13.2,6.5,117,North America
54,Equatorial Guinea,0.439,9.2,5.5,135,Africa
55,Eritrea,0.267,5,3.9,179,Africa
56,Estonia,0.877,16.5,12.5,30,Europe
57,Ethiopia,0.318,8.4,2.6,174,Africa
58,Fiji,0.777,15.3,10.5,91,Oceania
59,Finland,0.847,17,11.2,23,Europe
60,France,0.839,16.3,11.6,21,Europe
61,Gabon,0.618,12.6,8.1,109,Africa
62,Gambia,0.358,8.9,3.3,173,Africa
63,Georgia,0.794,13.9,12.2,70,Europe
64,Germany,0.914,17.1,13.2,4,Europe
65,Ghana,0.551,11.5,6.9,139,Africa
66,Greece,0.83,17.2,10.5,29,Europe
67,Grenada,0.725,15.8,8.6,79,North America
68,Guatemala,0.508,10.7,6.3,125,North America
69,Guinea,0.33,8.8,2.6,183,Africa
70,Guinea-Bissau,0.353,9.2,2.9,178,Africa
71,Guyana,0.568,10.3,8.4,127,South America
72,Haiti,0.425,9.1,5.2,163,North America
73,Honduras,0.518,11.2,6.2,130,North America
74,Hong Kong,0.822,15.7,11.6,12,Asia
75,Hungary,0.834,15.6,12,43,Europe
76,Iceland,0.906,19,12.2,9,Europe
77,India,0.624,11.7,6.3,131,Asia
